angleToTrackAxis,trackPosition,rxSensor,ctrSensor,sxSensor,rpm,gear,steering,accelerate,brake,clutch
-0.039504,-0.621157,59.511100,200.000000,96.168500,4687.520000,3,0.000000,1.300000,0.000000,0.000000
-0.039502,-0.557533,69.503100,200.000000,92.395400,5198.600000,3,0.000000,1.000000,0.000000,0.000000
-0.039489,-0.480202,81.627900,200.000000,87.817100,5815.120000,3,0.000000,1.300000,0.000000,0.000000
-0.039460,-0.398943,94.330500,200.000000,83.015400,4821.110000,4,0.000000,1.300000,0.000000,0.000000
-0.039427,-0.312782,107.778000,200.000000,77.922700,5174.240000,4,0.000000,1.000000,0.000000,0.000000
-0.039393,-0.220760,122.125000,200.000000,72.479600,5516.790000,4,0.000000,1.300000,0.000000,0.000000
-0.039359,-0.122687,137.397000,200.000000,66.674700,5875.910000,4,0.000000,1.000000,0.000000,0.000000
-0.039330,-0.018450,153.629000,194.264000,60.498000,6236.250000,4,0.000000,1.000000,0.000000,0.000000
-0.038414,0.090680,167.513000,177.579000,54.406800,5860.170000,4,0.000000,1.300000,0.000000,0.000000
-0.038103,0.195394,182.433000,158.413000,48.260500,6433.760000,4,0.000000,0.000000,0.217471,0.000000
-0.039240,0.301568,200.000000,133.528000,41.517600,6292.480000,4,0.000000,1.300000,0.000000,0.000000
-0.038052,0.410063,200.000000,116.304000,35.398800,6139.250000,4,-0.300000,1.300000,0.000000,0.000000
0.080750,0.298262,58.226100,120.713000,199.771000,6420.610000,4,0.000000,0.000000,0.012999,0.000000
0.079610,0.077503,48.652100,101.618000,182.786000,6274.840000,4,0.000000,1.000000,0.000000,0.000000
0.080700,-0.144197,38.393300,79.621800,165.779000,6192.490000,4,0.000000,1.000000,0.000000,0.000000
0.081757,-0.363480,28.378900,58.456300,148.606000,4019.420000,4,0.000000,0.000000,0.000000,0.000000
0.085455,-0.555793,19.384800,39.033300,134.127000,2692.010000,3,0.000000,0.000000,0.000000,0.000000
0.029346,-0.696936,19.535900,77.464800,112.525000,2800.640000,2,0.000000,1.000000,0.000000,0.000000
0.009535,-0.723057,21.490600,112.635000,99.258100,4541.640000,3,0.000000,1.000000,0.000000,0.000000
0.009581,-0.738871,20.253900,100.338000,88.859300,5071.290000,3,0.000000,1.000000,0.000000,0.000000
0.009677,-0.757534,18.787700,86.025300,76.574900,5660.500000,3,0.000000,1.000000,0.000000,0.000000
-0.125761,-0.733219,66.345400,58.572200,50.539300,4728.770000,4,0.000000,0.000000,0.000000,0.000000
-0.202445,-0.483463,45.946800,39.856800,34.209200,5706.270000,2,-0.300000,0.000000,0.000000,0.000000
-0.025832,-0.324411,47.553700,41.896000,36.629400,6547.580000,2,0.000000,1.000000,0.000000,0.000000
-0.025595,-0.296604,38.486500,33.807800,29.654600,1549.060000,1,-0.300000,1.300000,0.000000,0.000000
0.114930,-0.353602,43.491300,38.503900,33.961300,4150.390000,2,0.000000,1.000000,0.000000,0.000000
-0.035383,-0.397409,35.625300,31.475600,27.840900,5332.040000,2,-0.300000,1.300000,0.000000,0.000000
0.025541,-0.415960,39.962200,34.512700,30.527400,3229.060000,2,0.000000,1.000000,0.000000,0.000000
-0.049723,-0.394829,38.607500,31.012200,27.264100,3768.950000,2,-0.300000,1.300000,0.000000,0.000000
0.012856,-0.425813,58.702100,68.898400,79.793300,4681.670000,2,0.000000,1.000000,0.000000,0.000000
-0.190617,-0.312061,50.620800,59.215100,68.776800,5276.860000,2,0.000000,0.000000,0.000000,0.000000
-0.301066,0.059888,41.910700,48.865800,56.945500,5083.130000,2,0.300000,0.000000,0.000000,0.000000
-0.322510,0.463234,50.923800,59.059100,68.138900,4863.480000,2,0.000000,0.000000,0.000000,0.000000
-0.124222,0.739940,43.162600,49.921900,57.741400,4725.280000,2,0.000000,0.000000,0.000000,0.000000
-0.004686,0.786549,40.985500,47.479600,55.065900,4567.870000,2,0.300000,0.000000,0.000000,0.000000
-0.036290,0.861400,46.196400,53.395500,61.612200,4418.960000,2,0.000000,0.000000,0.000000,0.000000
0.063515,0.846788,39.077600,45.061900,52.116700,4280.130000,2,0.000000,0.000000,0.000000,0.000000
0.158976,0.726101,32.130200,36.973200,42.865500,4138.680000,2,0.000000,0.000000,0.000000,0.000000
0.248389,0.515011,25.401000,29.172800,33.905000,3943.020000,1,0.000000,0.000000,0.000000,0.000000
0.155192,0.359412,27.242300,31.961900,37.884200,4569.830000,1,0.000000,0.000000,0.000000,0.000000
0.176329,0.236332,24.452600,28.814300,34.387000,4211.510000,1,0.300000,0.000000,0.000000,0.000000
0.071202,0.189768,29.101000,34.931000,42.195900,3916.310000,1,0.300000,0.000000,0.000000,0.000000
-0.039520,0.202966,36.956800,44.607200,53.650600,3651.350000,1,0.000000,0.000000,0.000000,0.000000
0.008009,0.212755,33.562000,40.418900,48.711700,3402.560000,1,0.000000,0.000000,0.000000,0.000000
0.060520,0.192252,29.782300,35.782600,43.225700,3704.140000,1,0.000000,0.300000,0.000000,0.000000
0.121659,0.128369,25.346800,30.369500,36.788100,3754.420000,2,0.000000,1.300000,0.000000,0.000000
0.045097,0.045228,28.256900,34.474600,42.269800,4046.100000,2,0.300000,1.300000,0.000000,0.000000
-0.268479,0.179414,61.023700,74.673100,90.618900,4907.470000,2,0.000000,1.000000,0.000000,0.000000
-0.160532,0.464635,53.547100,65.272200,79.451300,5946.920000,2,0.000000,1.000000,0.000000,0.000000
-0.026583,0.611268,44.287500,53.758200,65.707500,4708.630000,3,0.000000,1.000000,0.000000,0.000000
-0.023946,0.631956,48.891900,60.019500,81.122700,5217.970000,3,0.000000,1.000000,0.000000,0.000000
0.102159,0.543738,37.853500,46.229300,61.269300,4445.120000,3,0.300000,0.000000,0.000000,0.000000
0.043952,0.430497,42.612200,200.000000,116.030000,5023.330000,3,0.000000,1.000000,0.000000,0.000000
0.132846,0.272396,33.994600,200.000000,107.620000,5550.610000,3,0.000000,1.000000,0.000000,0.000000
0.226228,-0.067379,25.530100,188.090000,99.600600,6109.210000,4,0.000000,1.000000,0.000000,0.000000
0.167447,-0.542818,17.716700,170.951000,90.653900,5023.960000,4,0.000000,1.000000,0.000000,0.000000
0.051102,-0.789227,200.000000,153.650000,81.564400,5322.520000,4,0.000000,1.000000,0.000000,0.000000
-0.074060,-0.761568,200.000000,135.600000,71.986200,5625.690000,4,0.000000,1.000000,0.000000,0.000000
-0.097814,-0.517880,200.000000,116.571000,61.861400,5989.210000,4,0.000000,1.000000,0.000000,0.000000
-0.097624,-0.254754,200.000000,96.550100,51.189700,6333.300000,4,0.000000,1.000000,0.000000,0.000000
-0.098879,0.015461,200.000000,74.799300,39.898000,6188.530000,4,0.000000,1.000000,0.000000,0.000000
-0.100079,0.278392,200.000000,54.168300,29.057800,5536.660000,4,-0.300000,0.000000,1.000000,0.000000
-0.092332,0.482739,200.000000,42.076300,21.717300,5289.070000,3,0.000000,0.000000,0.000000,0.000000
0.050279,0.580435,86.449500,200.000000,85.094900,5767.110000,2,0.000000,1.000000,0.000000,0.000000
0.054596,0.499763,79.556300,200.000000,114.857000,4620.200000,3,0.000000,1.000000,0.000000,0.000000
0.054600,0.408674,74.722500,193.597000,135.787000,5155.590000,3,0.000000,1.000000,0.000000,0.000000
0.054606,0.307510,69.353000,179.672000,159.050000,5710.480000,3,0.000000,1.000000,0.000000,0.000000
0.054603,0.196507,63.466700,164.428000,184.526000,4749.500000,4,0.000000,1.000000,0.000000,0.000000
0.054624,0.074308,56.976400,147.578000,200.000000,5045.960000,4,0.000000,1.000000,0.000000,0.000000
0.054652,-0.050091,50.369000,130.423000,200.000000,5346.480000,4,0.000000,1.000000,0.000000,0.000000
0.054681,-0.181633,43.385300,112.303000,200.000000,5642.430000,4,0.000000,1.000000,0.000000,0.000000
0.054711,-0.320494,36.015900,93.195300,200.000000,5946.740000,4,0.000000,1.000000,0.000000,0.000000
0.054744,-0.466668,28.261700,73.103400,200.000000,6250.300000,4,0.000000,1.000000,0.000000,0.000000
0.052977,-0.611207,20.860300,55.067500,200.000000,4957.810000,4,0.000000,0.000000,0.000000,0.000000
0.051604,-0.722300,15.046200,40.378500,200.000000,5178.190000,3,0.000000,0.000000,0.000000,0.000000
0.051435,-0.803460,10.661600,28.671100,200.000000,4926.190000,2,0.000000,0.000000,0.000000,0.000000
0.050552,-0.859417,7.674740,20.866200,196.895000,1655.520000,1,0.300000,0.000000,0.000000,0.000000
-0.018065,-0.852289,16.021400,176.991000,132.134000,4403.350000,2,0.000000,1.000000,0.000000,0.000000
-0.018068,-0.835109,17.885600,169.968000,130.905000,4179.210000,2,0.000000,1.000000,0.000000,0.000000
-0.018070,-0.814210,20.153200,161.288000,130.172000,5162.880000,2,0.000000,1.000000,0.000000,0.000000
-0.018040,-0.788827,22.896600,150.687000,195.740000,4550.430000,3,0.000000,1.000000,0.000000,0.000000
-0.018012,-0.760686,25.937500,138.844000,181.670000,4728.590000,3,0.000000,0.500000,0.000000,0.000000
-0.018362,-0.730339,29.375000,126.536000,166.810000,4772.310000,3,0.000000,0.000000,0.000000,0.000000
-0.020266,-0.698617,33.761800,115.121000,152.526000,4649.820000,3,0.000000,0.000000,0.000000,0.000000
-0.022036,-0.664739,38.574900,103.844000,138.424000,4534.250000,3,0.000000,0.000000,0.000000,0.000000
