angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
-0.013428,0.000916,0.126659,0.148297,0.177160,0.222071,0.300547,0.325034,0.000976,2
-0.072945,0.001927,0.210236,0.290969,0.426002,0.513700,0.275017,0.311692,-0.008031,0
-0.042243,0.003280,0.198133,0.274766,0.398532,0.481734,0.547465,0.307074,-0.000381,0
-0.018596,0.003995,0.202583,0.291265,0.395378,0.468777,0.278110,0.302749,0.000526,2
0.002812,0.004193,0.217042,0.315006,0.394761,0.459708,0.215425,0.298605,0.000589,0
0.023036,0.003853,0.212556,0.300264,0.371846,0.433055,0.226022,0.295783,-0.000443,1
0.023032,0.003347,0.204797,0.281082,0.345995,0.403860,0.456268,0.293728,-0.000386,1
0.023036,0.002845,0.197096,0.261637,0.320323,0.374768,0.425317,0.291716,-0.000333,1
0.023065,0.002309,0.187083,0.240385,0.292768,0.343436,0.391812,0.298843,-0.000323,1
0.023497,0.001743,0.173040,0.217088,0.263209,0.309790,0.355682,0.318961,-0.000231,1
0.023918,0.001168,0.157207,0.193566,0.233672,0.275959,0.319059,0.340584,-0.000053,1
0.024076,0.000507,0.137930,0.166916,0.200508,0.237681,0.277190,0.365201,0.000048,1
0.023976,-0.000201,0.116026,0.138324,0.165339,0.196804,0.231941,0.387863,-0.000045,0
0.020303,-0.000855,0.096039,0.113307,0.134951,0.161301,0.192169,0.382135,0.000272,2
0.038964,-0.001658,0.078225,0.091824,0.109357,0.131552,0.158752,0.376298,0.000063,2
0.059257,-0.003009,0.060666,0.071106,0.084966,0.103260,0.126851,0.370822,0.001509,2
0.030433,-0.004344,0.060477,0.073535,0.091372,0.115148,0.145306,0.361922,-0.001515,2
-0.041443,-0.004490,0.103075,0.130664,0.164470,0.203238,0.245251,0.345322,-0.023861,0
-0.024736,-0.003771,0.096691,0.120412,0.150152,0.185321,0.224584,0.339939,-0.000390,0
0.000606,-0.003474,0.082675,0.101342,0.125580,0.155655,0.190924,0.335223,0.000724,2
0.021190,-0.003739,0.069651,0.084590,0.104540,0.130346,0.162060,0.330448,0.000847,2
0.028990,-0.004437,0.060254,0.073452,0.091519,0.115619,0.146159,0.325248,0.004499,2
-0.021542,-0.004553,0.086663,0.109591,0.139049,0.174494,0.214451,0.316070,-0.000577,2
-0.101041,-0.003316,0.179664,0.217468,0.258146,0.300288,0.342699,0.300938,-0.016441,1
-0.077912,-0.001292,0.167796,0.200336,0.236457,0.275012,0.314842,0.298516,-0.000022,1
